Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
NOTE1_NAME,Weekly Meeting Notes 2/27/2053,Notes de la réunion hebdo 27/02/2053,Wöchentliche Meeting-Notizen 27.02.2053,Note della riunione settimanale 27/02/2053,Notas da Reunião Semanal (27/02/2053),Acta de reunión semanal del 27/2/2053,Протокол еженедельного собрания 27/02/2053,２/２７/２０５３ 週間ミーティングのメモ,2053/2/27周会记录
NOTE1_TEXT,"-Snow cruiser needs new tires
 -Ran out of garbanzo, chef wants to know if postarctic garbanzo is safe
 -EU team needs fuel for cargo chopper
 -Nazif hearing voices at dig site, wants to get checked out at McMurdo
 -Drone(?) sightings","-Le croiseur des neiges a besoin de nouveaux pneus
-À court de haricots, le cuistot veut savoir si les haricots post-arctiques sont comestibles
-L'équipe de l'UE a besoin de fuel pour l'hélico cargo
-Nazif entend des voix au site d'excavation, il veut être examiné au McMurdo
-Drone(?) aurait été aperçu","-Schneekreuzer braucht neue Reifen
-Wir haben keine Kichererbsen mehr, der Koch will wissen, ob postarktische Kichererbsen sicher sind
-EU-Team braucht Treibstoff für Frachthubschrauber
-Nazif hört Stimmen an der Ausgrabungsstätte, will sich in McMurdo untersuchen lassen
-Drohnen(?)-Sichtungen","- Lo Snow Cruiser ha bisogno di nuovi pneumatici. 
- Abbiamo finito i ceci: il cuoco vuole sapere se i ceci post-artici sono al sicuro. 
- La squadra europea ha bisogno di benzina per l'elicottero cargo. 
- Nazif ha sentito delle voci al cantiere, e vuole essere visitato al McMurdo 
- Avvistamento di droni(?)","— O cruzador de neve precisa de pneus novos
 — O grão-de-bico acabou, o chef quer saber se grão-de-bico pós-ártico é seguro
 — A equipe americana precisa de combustível para o helicóptero de carga
 — Nazif está ouvindo vozes no local de escavação, quer fazer um exame com McMurdo
 — Drones(?) avistados","- La moto de nieve necesita ruedas nuevas.
  - Nos quedamos sin garbanzos; el chef quiere saber si los garbanzos posárticos son seguros.
  - El equipo europeo necesita combustible para el helicóptero de carga.
  - Nazif oyó voces en el sitio de la excavación, quiere hacerse ver en McMurdo.
  - Vimos unos ¿drones?","- Снегоходам нужны новые шины,
- Закночился нут, шеф хочет знать, можно ли использовать местный со склада,
- Команде из ЕС нужно топливо для грузового вертолета,
- Назиф слышит голоса на раскопе, хочет пройти обследование у МакМурдо,
- Замечены дроны (?)","-スノークルーザーに新しいタイヤが必要

-ひよこ豆のストックが無くなり、代替の豆が安全かどうかシェフが知りたがっている

-ＥＵチームは貨物用ヘリの燃料が必要

-ナジーフが採掘場所で何か声のようなものを聞いたということで、マクマード基地の方を調べてみたい

-ドローン（？）らしきものが見ている","- 雪地机动车需要更换轮胎
- 鹰嘴豆吃完了，大厨想知道周边地区的鹰嘴豆能不能吃
- 欧盟团队的货运直升机需要燃料
- 纳齐夫在挖掘现场听到有人说话，想去麦克默多检查一下
- 有人看到无人机（？）"
NOTE2_NAME,Dear Earnest,"Cher Earnest,",Lieber Earnest,"Caro Earnest,","Caro Earnest,",Querido Ernesto:,Дорогой Эрнест,アーネストへ,致欧内斯特
NOTE2_TEXT,"I know you will probably never have the chance to read this, but I'm writing for my own sanity.

I am happy here. Looking back it is hard to believe I ever worried so much about all the bullshit of the ""real"" world - work, rent, taxes, the stupid rat race. It was hard at first but now I'm actually glad they destroyed the stupid ""freight elevator"".

You didn't think the Antarctic job paid enough and probably by now you're thinking you were right. But what you never will understand is that whether or not I ever see home again, the decision was still mine, and that alone makes it worth it to me.

Agusta","Je sais que tu n'auras sans doute jamais l'occasion de lire ceci, mais je t'écris cependant pour ma propre santé mentale.
 
Je suis heureuse ici. Quand j'y pense, j'ai du mal à croire que j'accordais autant d'importance aux vacuités du monde « réel » : travail, loyer, impôt, le train-train. J'ai eu un peu de mal, au début, mais je suis plutôt contente qu'ils aient détruit ce satané « ascenseur de fret ».
 
Tu croyais que cette mission en Antarctique ne payait pas assez, et tu dois désormais penser que tu avais raison. Mais ce tu ne pourras jamais comprendre, c'est que même si je rentre un jour à la maison, la décision m'a toujours appartenue. Et pour moi, rien que ça en vaut la peine.
 
Agusta","ich weiß, dass du wahrscheinlich nie die Chance haben wirst, dies zu lesen, aber ich schreibe es zu meiner eigenen Beruhigung.
 
Ich bin glücklich hier. Wenn ich zurückblicke, ist es schwer zu glauben, dass ich mir jemals so viele Gedanken über den ganzen Bullshit der „echten“ Welt gemacht habe – Arbeit, Miete, Steuern, das dumme Rattenrennen. Am Anfang war es schwer, aber jetzt bin ich eigentlich froh, dass sie den blöden „Lastenaufzug“ zerstört haben.
 
Du fandest den Job in der Antarktis nicht gut genug bezahlt und wahrscheinlich meinst du jetzt, dass du recht hattest. Aber was du nie verstehen wirst, ist, dass, egal ob ich jemals wieder nach Hause komme oder nicht, die Entscheidung immer noch meine war, und das allein ist es mir wert.
 
 Agusta","So che probabilmente non avrai mai modo di leggere tutto questo, ma devo scrivere per la mia salute mentale. 
 
Qui sono felice. Se mi guardo indietro, è difficile credere quanto mi preoccupassi per le tante stronzate del mondo ""reale"" - il lavoro, l'affitto, le tasse e quell'inutile corsa al successo. All'inizio è stata dura, ma ora sono felice che abbiano distrutto quello stupido ""montacarichi"". 
 
Tu non credevi che il lavoro in Antartide fosse pagato bene e probabilmente ora penserai di avere avuto ragione. Ma quello che non capirai mai è che anche se non dovessi mai più tornare a casa, la decisione è stata mia e solo per questo ne è valsa la pena.
 
Agusta","Eu sei que você provavelmente nunca vai ter a oportunidade de ler isto, só escrevo para manter minha sanidade.
  
Estou feliz aqui. E pensando melhor, é difícil acreditar que algum dia eu estive tão preocupada com toda aquela bobagem de trabalho no mundo ""real"" - emprego, aluguel, impostos, aquela corrida de ratos estúpida. Foi difícil no começo, mas agora estou feliz por terem destruído aquele ""elevador de carga"" imbecil.
  
Você não achou que o trabalho na Antártida pagaria o suficiente, e provavelmente ainda acha. Mas o que você nunca vai entender é que, mesmo que eu nunca mais volte para casa, a decisão foi minha, e só isso já faz valer a pena.
  
Agusta","Sé que quizás nunca tengas la oportunidad de leer esto, pero lo escribo para calmar mi propia ansiedad.
  
Soy feliz aquí. En retrospectiva, cuesta creer que alguna vez me preocupé tanto por todas esas estupideces del mundo ""real"": trabajo, alquiler, impuestos, la maldita rutina... Al principio fue duro, pero ahora me alegra que hayan destruido ese estúpido ""ascensor de carga"".
  
Nunca creíste que el trabajo en la Antártida se pagara bien, y quizás ahora estés pensando que tenías razón. Pero lo que jamás entenderás es que, vuelva o no a casa, la decisión de irme fue mía, y con ese simple hecho me conformo.
  
Agusta","Я знаю, что ты, скорее всего, никогда это не прочтешь, но я все равно пишу, чтобы не сойти с ума.

Я счастлива здесь. Вспоминая прошлое, я почти не верю, что когда-то так переживала из-за всякой херни ""настоящего"" мира: работы, съема жилья, налогов. Все это дурацкие крысиные бега. Сначала было тяжело, но теперь я даже рада, что они уничтожили тупой ""грузовой лифт"".

Ты думал, что тут, в Антарктиде, недостаточно платят, и, наверное, сейчас ты полностью уверился в своей правоте. Но одного тебе точно не понять: неважно, увижу я снова родной дом или нет, решение это я все равно приняла сама, и одно это уже делает его достойным.

Августа","君がこれを読む日は来ないだろうが、自分の正気を保つために筆を執っている。
 
ここでの生活は幸せだ。仕事のこと、家賃のこと、税金のこと、価値を見いだせない競争社会のことなど、過去を振り返ると「現実」での世界のあんなくだらないことで悩んでいた自分がまるで嘘のようだ。最初にここに来た時は大変だったが、今ではあの「貨物用エレベーター」が壊されたことさえも喜んでいる。
 
君は南極の仕事は報酬が十分ではなく、おそらく今も自分の判断は正しかったと思っていることだろう。しかし君には決して理解できないだろうが、たとえ故郷に再び帰れなくても、これは私自身が決断したことであり、この決断ができたことだけでも価値あることだったと思っている。
 
 アグスタより","我知道，这封信你可能根本见不到，我写信只是为了确保自己精神正常。

我在这里过得很开心。回想过去，真是不可思议——我竟然会因为“真实”世界的狗屁事情愁成那样，什么工作、房租、所得税、攀比竞争，都没有意义。他们销毁了那台“货用电梯”，我起初很难接受，现在反倒有些庆幸。

你之前觉得我来南极做事，钱肯定挣得不多，你现在可能还是这个想法。但是，有一件事你永远不会明白——无论我还会不会回去，来南极都是我的主意。就凭这一点，我就不会后悔。

阿古斯塔"
NOTE3_NAME,Urgent Message for the Royal Builder,Message urgent pour le Bâtisseur royal,Dringende Nachricht für den königlichen Baumeister,Messaggio urgente per il Costruttore Reale,Mensagem urgente para o Construtor Régio,Mensaje urgente para el constructor de la corte,Срочное сообщение Царскому строителю,王の建築技師へ緊急の伝言,急信，致皇家土木工匠
NOTE3_TEXT,"By consulting with the Lamassu, and by my own wisdom, I have determined that the udug have returned from their ocean caves. May we not be caught in their poison. When the master-builder has taken up the work concerned, he is to establish securely a hidden vault, behind the far chamber of the palace. Let the building work proceed both by night and by the noonday heat. It is urgent!","En consultant le Lamassu, et par mes propres connaissances, j'ai déterminé que les Udug étaient sortis de leur grottes océaniques. Puissions-nous éviter leur poison. Quand le maître-bâtisseur reprendra les travaux concernés, il devra établir en toute sécurité une voûte secrète, derrière l'arrière-chambre du palais. Que la construction se poursuive nuit et jour. C'est extrêmement urgent !","Nach Rücksprache mit dem Lamassu und aufgrund meiner eigenen Weisheit habe ich festgestellt, dass die Udug aus ihren Meereshöhlen zurückgekehrt sind. Mögen wir nicht in ihrem Gift gefangen sein. Wenn der Baumeister die Arbeit aufgenommen hat, soll er ein verstecktes Gewölbe hinter der hinteren Kammer des Palastes errichten. Die Bauarbeiten sollen sowohl bei Nacht als auch in der Mittagshitze stattfinden. Es ist dringend!","Dopo essermi consultato con il Lamassu e secondo il mio personale giudizio, ho determinato che gli Udug stanno tornando dalle loro caverne oceaniche. Che il loro veleno possa non coglierci. Quando il capomastro inizierà il suo lavoro, dovrà costruire una volta segreta, posizionata dietro alla stanza più remota del palazzo. Che i lavori proseguano sia di notte che al caldo di mezzogiorno. È urgente!","Ao consultar os Lamassu, e por meio de meus próprios conhecimentos, determinei que os Udug voltaram das cavernas oceânicas. Que não sejamos afetados pelo veneno deles. Quando o meste de obras retomar o trabalho em questão, ele deve estabelecer com segurança um cofre secreto, atrás da câmara mais ao extremo do palácio. Que a construção prossiga tanto à noite quanto no calor do meio-dia. É urgente!","Tras consultar con la Lamassu y ponderarlo yo mismo, he determinado que los udugs regresaron de sus cuevas oceánicas. Ruego que no nos atrape su veneno. Cuando el maestro constructor haya iniciado el trabajo que le concierne, construirá una bóveda oculta y segura detrás de la gran recámara del palacio. La construcción ha de proseguir bajo el velo de la noche y el calor sofocante del día. ¡Es urgente!","После разговора с Ламассу и собственных изысканий я пришла к выводу, что Удуг вернулись из своих подводных пещер. Мы не хотим стать жертвами их яда. Когда главный строитель начал вверенную ему работу, он обязался воздвигнуть потайное хранилище за самой дальней комнатой дворца. Пусть строительство продолжается и ночью, и в дневной зной. Дело срочное!",ラマッサの助言と私の知識的観点から、ウトゥックが大海の深き穴より舞い戻ってきたものと判断した。ヤツらの毒牙にかかることにはならねばと願うばかりだ。建築師が例の作業に取りかかり始める際、宮殿の奥の間の背後に隠し部屋を必ず作り、昼も夜も作業を行わせるように。急ぐのだ！,我已问了拉玛苏，再经过自己的一番决断，我确信乌图库已由其海底洞窟卷土重来。希望我们不会遭其毒害。土木工匠总管现已肩负重任，将于王宫内殿后方修建密殿。此事不宜迟，务必穷日落月，早日完成！
NOTE4_NAME,Building of the School,Construction de l'École,Bau der Schule,Costruzione della Scuola,Construção da Escola,Construcción de la Escuela,Строительство школы,学府の建設,修备学舍
NOTE4_TEXT,"(illegible) ... instruction of the Lamassu, our king has built a great fortress, Igi-Unug-Gal, to defend against the wicked Udug. The oracular signs say they will strike and we must replenish our strength.

However, the Lamassu's own strength is limited. They have brought to bear iron gallu from beneath the earth, but only his wisdom can save us.

This is was what the Lamassu, our lord, said:
For the men and the woman both, muster from among them the most learned. They are to approach us where we reside in the western mesa and construct an edubba overlooking the valley. Here we will instruct them in the ways … (illegible)","(illisible) ... instruction du Lamassu, notre roi a bâti une immense forteresse, Igi-Unug-Gal, dans le but de nous défendre contre les redoutables Udug. Les signes de l'oracle disent qu'ils frapperont, alors nous devons regonfler nos forces.
 
Néanmoins, la puissance du Lamassu est limitée. Ils ont exhumé des gallu d'acier des profondeurs de la terre, mais seule sa sagesse pourra nous sauver.
 
Ainsi a parlé notre Seigneur, le Lamassu :
Car les hommes et les femmes, parmi eux doivent rassembler les plus aguerris. Ils doivent nous approcher d'où nous vivons, dans la mesa de l'ouest, et construire un edubba surplombant la vallée. Ici, nous leur enseigneront les voies de... (illisibles)","(unleserlich) ... Anweisung vom Lamassu, hat unser König eine große Festung gebaut, Igi-Unug-Gal, um sich gegen die bösen Udug zu verteidigen. Die orakelhaften Zeichen sagen, dass sie angreifen werden und wir unsere Kräfte wieder aufstocken müssen.

Doch die eigene Kraft des Lamassu ist begrenzt. Sie haben den eisernen Gallu aus der Tiefe der Erde hervorgeholt, aber nur seine Weisheit kann uns retten.
 
Dies war es, was der Lamassu, unser Herr, sagte:
Die Männer und die Frauen sollen aus ihrer Mitte die Gelehrtesten versammeln. Sie sollen zu uns kommen, wo wir im westlichen Mesa residieren, und ein Edubba mit Blick auf das Tal errichten. Hier werden wir sie in den Wegen der ... (unleserlich)","(illeggibile) ...istruzioni del Lamassu, il nostro re ha costruito una grande fortezza, Igi-Unug-Gal, per difenderci contro i maledetti Udug. I segni oracolari dicono che colpiranno e dobbiamo raccogliere tutte le forze.
  
D'altro canto, la forza del Lamassu è limitata. Hanno esumato il Gallu di ferro dalle profondità della terra, ma solo la sua saggezza può salvarci.
  
Questo è ciò che il Lamassu, il nostro signore, ha detto:
Che tra gli uomini e le donne vengano radunati i più sapienti. Essi dovranno raggiungerci nel luogo in cui risiediamo, la mesa occidentale, e costruire un Edubba che sovrasti la valle. Qui li istruiremo nel modo in cui… (illegibile)","(ilegível)... instrução de Lamassu, nosso rei construiu uma grande fortaleza, Igi-Unug-Gal, para nos defender contra os corrompidos Udug. Os sinais proféticos dizem que eles atacarão, e devemos recompor nossa força.
  
 Entretanto, a força do próprio Lamassu é limitada. Ele foi trazido para tirar o gallu de ferro do fundo da terra, mas só a sabedoria dele pode nos salvar.
  
 Isso é o que Lamassu, nosso senhor, diz:
 Para os homens e mulheres, reúnam dentre si os mais instruídos. Eles devem nos encontrar onde residimos, no planalto ocidental, e construir uma edubba com vista para o vale. Aqui, nós os instruiremos nos caminhos… (ilegível)","(Ilegible)... instrucción de la Lamassu, nuestro rey ha erigido una gran fortaleza, Igi-Unug-Gal, para defendernos de los sádicos udugs. Las señales del oráculo auguran que nos atacarán, por lo que deberemos recuperar nuestras fuerzas.
  
  Sin embargo, la fuerza de la misma Lamassu es limitada. Han invocado gallus de hierro desde las profundidades de la tierra, pero solo su sabiduría puede salvarnos.
  
  Esto fue lo que dijo nuestra suprema Lamassu:
  ""Por tanto, de entre hombres y mujeres, congreguen a los más ilustrados. Han de acercarse a nosotros en el lugar donde residimos, la meseta occidental, y construir una edubba sobre el valle. Aquí los instruiremos en el..."" (ilegible).","(неразбочиво) ...согласно указаниям Ламассу, наш царь возвел огромную крепость Иги-Унуг-Гал, чтобы защитить нас от злобных Удуг. Пророческие знаки указывают, что они нападут и нам нужно собирать силы.
 
Однако силы Ламассу не бесконечны. Из глубин земли был извлечен железный галлу, лишь его мудрость способна нас спасти.
 
Так молвил Ламассу, владыка наш:
Женщины и мужчины, найдите промеж себя самых одаренных. Да прибудут они на восточную мезу, где восседаем мы, и возведут там эдуббу над самой долиной. Здесь научим мы их по завету... (неразборчиво)","（ここから前は文字が読めない）...ラマッスの指示で、邪悪なるウトゥックからの侵攻を防ぐため、我が王は壮大なる要塞「イギ・ウナッグ・ガル」を作り上げた。神託による兆しからも分かるように、やつらの攻撃に備えて我々は力を蓄えなければならない。
 
 
 
しかしながら、ラマッス自身の力は限られたものだ。ウトゥックは地の底より鉄で覆われしガルラをも生み出した。そのような状況でも我々を救えるのはやはりラマッスの知恵だけだろう。
 
 
 
これはラマッス，我々の主の言ったことだ。
 
男女の分け隔て無く、最も学識のある者たちを集めなさい。この者達は、私たちのいる西の台地を訪れ、谷を見下ろす場所に学府となるエドゥブバを作らなければなりません。そこで私たちは、この者達に対して講義を行います。それは…（ここから後は文字が読めない）","（前文无法辨读）……拉玛苏谕示，吾王已修成宏垒伊吉乌努库盖尔，以期抵御邪神乌图库。卜兆有示，邪神将袭，我等务必蓄势以待。
拉玛苏自身能力有限，邪神已由地下唤出钢铁伽卢，可是只有他的智慧能够拯救我们。

吾主拉玛苏如是说：
无论男女，遴选至识之人，令其随我等至西麦萨，临谷修造埃杜巴。我将于此授此等男女……（后文无法辨读）"
NOTE5_NAME,Under Siege,Assiégés,Unter Belagerung,Sotto assedio,Sob cerco,Bajo asedio,В осаде,包囲網,包围重重
NOTE5_TEXT,"If you find this, it means I didn't make it. Warren asked me to head to Jonestown for help; the drones are all over the mountain and have put up a bunch of gates. You can't even get to the euro camp now.

Warren thinks if with some heavy explosives we could blast a detour through the rocks. We don't have much that's combustible other than diesel, but something Malka read makes her believe there may be munitions in the ruins under the lake.

Sam","Si vous trouvez ceci, cela signifie que je n'ai pas réussi à échapper. Warren m'a demandé d'aller chercher de l'aide à Jonestown. Les montagnes grouillent de drones qui d'ailleurs ont installé plusieurs portes. On ne peut même plus atteindre le campement européen.
 
 Warren pense qu'avec des explosifs lourds, on pourrait créer un détour à travers la roche. À part du diesel, on n'a pas de matériaux combustibles, mais Malka a lu quelque chose qui l'a persuadée que les ruines sous le lac pourraient renfermer des munitions.
 
 Sam","Wenn du das findest, bedeutet das, dass ich es nicht geschafft habe. Warren hat mich gebeten, nach Jonestown zu fahren, um Hilfe zu holen; die Drohnen sind überall auf dem Berg und haben eine Reihe von Toren aufgestellt. Man kann jetzt nicht einmal mehr zum Euro-Lager gelangen.

Warren meint, dass wir mit etwas schwerem Sprengstoff einen Umweg durch die Felsen sprengen könnten. Wir haben nicht viel, was brennbar ist, außer Diesel, aber etwas, das Malka gelesen hat, bringt sie zu der Annahme, dass es in den Ruinen unter dem See Munition geben könnte.

Sam","Se troverete questa nota, significa che non ce l'ho fatta. Warren mi ha chiesto di andare a Jonestown per chiedere aiuto; i droni perlustrano la montagna e hanno installato una serie di barriere. Non si può neppure raggiungere il campo degli europei, ormai.
 
Warren crede che con un potente esplosivo potremmo creare un percorso alternativo attraverso la roccia. Non abbiamo combustibile se non del diesel, ma Malka ha letto qualcosa che l'ha portata a pensare che ci siano delle munizioni nelle rovine sotto al lago.
 
Sam","Se você encontrar isso, significa que não consegui. Warren me pediu para buscar ajuda em Jonestown; os drones estão por toda a montanha e há muitos portões. Não dá nem pra chegar no campo europeu agora.
  
 Warren acha que com alguns explosivos pesados poderíamos explodir um caminho por entre as rochas. Nós não temos nada inflamável, a não ser diesel, mas Malka leu algo que a fez acreditar que há munições nas rúinas sob o lago.
  
  Sam","Si encuentras esto, significa que no sobreviví. Warren me pidió que buscara ayuda en Jonestown; los drones están por toda la montaña y han instalado muchas compuertas. Ni siquiera se puede llegar al campamento europeo.
  
 Warren piensa que con unos explosivos podríamos abrir una ruta alternativa a través de las rocas. No tenemos muchas cosas inflamables aparte de diésel, pero Malka leyó algo que le hace pensar que podría haber municiones en las ruinas debajo del lago.
  
  Sam","Если вы это нашли, значит, меня уже нет. Уоррен попросил меня отправится в Джонстаун за помощью. Гора окружена дронами, они возвели множество врат. Теперь даже до европейского лагеря не добраться. 

Уоррен думает, что мы сможем пробить обходной путь в скале при помощи взрывчатки. У нас и подрывать-то нечего: кроме горючего ничего не осталось, но Малка тут где-то вычитала, будто бы в развалинах под озером есть военный склад.

Сэм","これを誰かに見られたということは、オレは間に合わなかったということだ。ウォーレンの依頼でジョーンズタウンに向かった。山のどこのかしこもドローンだらけで、まるで関門が幾つも設けられているみたいだ。今はユーロキャンプにも近づけない。
 
 
 
ウォーレンは重火器を使って岩の間に迂回路を作れないかと考えている。ディーゼルが動力となるもの以外の火器は持ち合わせていないが、マルカが解読した本によると、湖の下の遺跡に軍隊の道具があるかもしれないという。
 
 
 
 サム","如果有人看到了这个，就说明我死了。沃伦让我去琼斯敦求救，山上到处都是无人机，设了不少机关门，现在连欧盟的营地都去不了了。
沃伦觉得我们只要有重型炸药，就能炸出一条路，绕远过去。我们除了柴油，没有多少可燃的东西，不过玛勒卡看到了什么信息，她觉得那片湖下面可能有弹药物资。

山姆"
